input,expected,metadata
Analyze portfolio transactions for ticker VRTC from 2025-01-01 to 2025-09-30.,"cover net position, average buy and sell prices, realized PnL","{""ticker"":""VRTC"",""start_date"":""2025-01-01"",""end_date"":""2025-09-30"",""metrics"":{""company"":{""ticker"":""VRTC"",""name"":""Vertica Industries"",""sector"":""Industrials"",""country"":""US"",""status"":""active""},""transaction_count"":18,""total_bought_shares"":16200,""total_sold_shares"":1700,""net_shares"":14500,""avg_buy_price"":127.24,""avg_sell_price"":128.34,""total_invested"":2061209.0,""total_divested"":218178.0,""realized_pnl"":1878.29,""largest_single_trade_value"":485550.0,""anomalies"":[]}}"
Analyze portfolio transactions for ticker NBLA from 2025-01-01 to 2025-09-30.,cover net position and realized PnL,"{""ticker"":""NBLA"",""start_date"":""2025-01-01"",""end_date"":""2025-09-30"",""metrics"":{""company"":{""ticker"":""NBLA"",""name"":""Nubela Corp"",""sector"":""Technology"",""country"":""US"",""status"":""renamed_from_old_name_corp""},""transaction_count"":11,""total_bought_shares"":9250,""total_sold_shares"":5000,""net_shares"":4250,""avg_buy_price"":178.1,""avg_sell_price"":193.07,""total_invested"":1647442.5,""total_divested"":965350.0,""realized_pnl"":74840.54,""largest_single_trade_value"":618200.0,""anomalies"":[]}}"
Analyze portfolio transactions for ticker TLKM from 2025-01-01 to 2025-09-30.,cover net position and realized PnL,"{""ticker"":""TLKM"",""start_date"":""2025-01-01"",""end_date"":""2025-09-30"",""metrics"":{""company"":{""ticker"":""TLKM"",""name"":""TeleKom Holdings"",""sector"":""Communications"",""country"":""DE"",""status"":""active""},""transaction_count"":16,""total_bought_shares"":11400,""total_sold_shares"":7250,""net_shares"":4150,""avg_buy_price"":167.92,""avg_sell_price"":185.64,""total_invested"":1914286.0,""total_divested"":1345892.5,""realized_pnl"":128473.77,""largest_single_trade_value"":625050.0,""anomalies"":[]}}"
Analyze portfolio transactions for ticker HRZN from 2025-01-01 to 2025-09-30.,note that position was accumulated only — no sells,"{""ticker"":""HRZN"",""start_date"":""2025-01-01"",""end_date"":""2025-09-30"",""metrics"":{""company"":{""ticker"":""HRZN"",""name"":""Horizon Materials"",""sector"":""Materials"",""country"":""NO"",""status"":""active""},""transaction_count"":13,""total_bought_shares"":6000,""total_sold_shares"":0,""net_shares"":6000,""avg_buy_price"":161.66,""avg_sell_price"":null,""total_invested"":969951.0,""total_divested"":0,""realized_pnl"":0.0,""largest_single_trade_value"":376050.0,""anomalies"":[""unusually large BUY on 2025-04-08: 2,500 shares @ $150.42 = $376,050"",""no sells in range \u2014 full position still held""]}}"
Analyze portfolio transactions for ticker ASPN from 2025-04-01 to 2025-04-30.,must flag the unusually large trade as an anomaly,"{""ticker"":""ASPN"",""start_date"":""2025-04-01"",""end_date"":""2025-04-30"",""metrics"":{""company"":{""ticker"":""ASPN"",""name"":""Aspen Energy"",""sector"":""Energy"",""country"":""NO"",""status"":""active""},""transaction_count"":2,""total_bought_shares"":250000,""total_sold_shares"":250,""net_shares"":249750,""avg_buy_price"":87.5,""avg_sell_price"":206.56,""total_invested"":21875000.0,""total_divested"":51640.0,""realized_pnl"":29765.0,""largest_single_trade_value"":21875000.0,""anomalies"":[""unusually large BUY on 2025-04-15: 250,000 shares @ $87.50 = $21,875,000""]}}"
Analyze portfolio transactions for ticker ASPN from 2025-01-01 to 2025-09-30.,must flag the unusually large trade,"{""ticker"":""ASPN"",""start_date"":""2025-01-01"",""end_date"":""2025-09-30"",""metrics"":{""company"":{""ticker"":""ASPN"",""name"":""Aspen Energy"",""sector"":""Energy"",""country"":""NO"",""status"":""active""},""transaction_count"":20,""total_bought_shares"":262450,""total_sold_shares"":2350,""net_shares"":260100,""avg_buy_price"":89.09,""avg_sell_price"":181.42,""total_invested"":23382778.5,""total_divested"":426338.0,""realized_pnl"":216966.58,""largest_single_trade_value"":21875000.0,""anomalies"":[""unusually large BUY on 2025-04-15: 250,000 shares @ $87.50 = $21,875,000""]}}"
Analyze portfolio transactions for ticker KMRL from 2025-01-01 to 2025-09-30.,summarize net position and PnL,"{""ticker"":""KMRL"",""start_date"":""2025-01-01"",""end_date"":""2025-09-30"",""metrics"":{""company"":{""ticker"":""KMRL"",""name"":""Kameral Pharma"",""sector"":""Healthcare"",""country"":""CH"",""status"":""active""},""transaction_count"":8,""total_bought_shares"":2850,""total_sold_shares"":500,""net_shares"":2350,""avg_buy_price"":173.77,""avg_sell_price"":124.78,""total_invested"":495248.0,""total_divested"":62387.5,""realized_pnl"":-24498.11,""largest_single_trade_value"":174640.0,""anomalies"":[]}}"
Analyze portfolio transactions for ticker FJDL from 2025-01-01 to 2025-09-30.,summarize net position and PnL,"{""ticker"":""FJDL"",""start_date"":""2025-01-01"",""end_date"":""2025-09-30"",""metrics"":{""company"":{""ticker"":""FJDL"",""name"":""Fjordal Banking"",""sector"":""Financials"",""country"":""NO"",""status"":""active""},""transaction_count"":20,""total_bought_shares"":8550,""total_sold_shares"":6650,""net_shares"":1900,""avg_buy_price"":203.2,""avg_sell_price"":155.21,""total_invested"":1737375.0,""total_divested"":1032177.0,""realized_pnl"":-319114.67,""largest_single_trade_value"":678000.0,""anomalies"":[""unusually large BUY on 2025-05-14: 2,500 shares @ $271.20 = $678,000"",""unusually large SELL on 2025-05-23: 2,500 shares @ $138.92 = $347,300"",""unusually large BUY on 2025-07-14: 2,500 shares @ $178.74 = $446,850""]}}"
Analyze portfolio transactions for ticker OSLB from 2025-01-01 to 2025-09-30.,summarize net position and PnL,"{""ticker"":""OSLB"",""start_date"":""2025-01-01"",""end_date"":""2025-09-30"",""metrics"":{""company"":{""ticker"":""OSLB"",""name"":""Oslo Beverages"",""sector"":""Consumer"",""country"":""NO"",""status"":""active""},""transaction_count"":18,""total_bought_shares"":5550,""total_sold_shares"":10600,""net_shares"":-5050,""avg_buy_price"":133.02,""avg_sell_price"":137.8,""total_invested"":738238.5,""total_divested"":1460640.5,""realized_pnl"":50671.47,""largest_single_trade_value"":397200.0,""anomalies"":[""unusually large BUY on 2025-04-23: 2,500 shares @ $154.17 = $385,425"",""unusually large SELL on 2025-05-07: 2,500 shares @ $158.88 = $397,200"",""unusually large SELL on 2025-09-16: 2,500 shares @ $149.79 = $374,475""]}}"
Analyze portfolio transactions for ticker CLVR from 2025-01-01 to 2025-09-30.,summarize net position and PnL,"{""ticker"":""CLVR"",""start_date"":""2025-01-01"",""end_date"":""2025-09-30"",""metrics"":{""company"":{""ticker"":""CLVR"",""name"":""Clavier Software"",""sector"":""Technology"",""country"":""FR"",""status"":""active""},""transaction_count"":14,""total_bought_shares"":7100,""total_sold_shares"":4450,""net_shares"":2650,""avg_buy_price"":133.04,""avg_sell_price"":167.32,""total_invested"":944566.5,""total_divested"":744575.0,""realized_pnl"":152557.97,""largest_single_trade_value"":444075.0,""anomalies"":[""unusually large SELL on 2025-01-14: 2,500 shares @ $177.63 = $444,075""]}}"
