id,ticker,trade_date,side,quantity,price_per_share,portfolio_id
77,ASPN,2025-01-27,BUY,1000,239.9,PORT-001
60,ASPN,2025-01-30,BUY,500,58.43,PORT-001
68,ASPN,2025-02-07,BUY,1000,190.97,PORT-001
62,ASPN,2025-02-11,BUY,100,184.83,PORT-001
69,ASPN,2025-02-21,BUY,2500,95.09,PORT-001
73,ASPN,2025-02-23,BUY,500,72.13,PORT-001
74,ASPN,2025-02-24,BUY,500,111.21,PORT-001
138,ASPN,2025-04-15,BUY,250000,87.5,PORT-001
75,ASPN,2025-04-18,SELL,250,206.56,PORT-001
63,ASPN,2025-05-01,SELL,100,266.28,PORT-001
71,ASPN,2025-05-06,SELL,500,82.07,PORT-001
64,ASPN,2025-05-07,BUY,2500,64.27,PORT-001
70,ASPN,2025-05-16,BUY,500,252.0,PORT-001
76,ASPN,2025-05-16,SELL,500,257.75,PORT-001
67,ASPN,2025-06-03,SELL,500,263.32,PORT-001
72,ASPN,2025-06-04,BUY,2500,115.35,PORT-001
66,ASPN,2025-06-10,BUY,500,138.01,PORT-001
61,ASPN,2025-09-02,BUY,100,270.78,PORT-001
59,ASPN,2025-09-07,BUY,250,114.73,PORT-001
65,ASPN,2025-09-25,SELL,500,93.0,PORT-001
125,CLVR,2025-01-04,SELL,500,222.07,PORT-001
137,CLVR,2025-01-11,BUY,250,74.66,PORT-001
129,CLVR,2025-01-14,SELL,2500,177.63,PORT-001
130,CLVR,2025-01-14,BUY,1000,76.89,PORT-001
136,CLVR,2025-01-21,BUY,250,91.85,PORT-001
135,CLVR,2025-01-27,SELL,250,197.78,PORT-001
134,CLVR,2025-02-11,SELL,100,221.02,PORT-001
132,CLVR,2025-06-17,BUY,1000,121.81,PORT-001
133,CLVR,2025-07-14,SELL,1000,104.28,PORT-001
124,CLVR,2025-07-19,BUY,2500,134.39,PORT-001
128,CLVR,2025-07-27,BUY,1000,261.09,PORT-001
126,CLVR,2025-08-03,BUY,1000,96.56,PORT-001
127,CLVR,2025-08-12,SELL,100,136.38,PORT-001
131,CLVR,2025-08-25,BUY,100,106.14,PORT-001
99,FJDL,2025-01-01,BUY,500,146.35,PORT-001
88,FJDL,2025-02-25,SELL,100,246.77,PORT-001
86,FJDL,2025-04-01,SELL,100,87.15,PORT-001
98,FJDL,2025-04-08,SELL,100,211.56,PORT-001
89,FJDL,2025-04-24,BUY,1000,127.17,PORT-001
90,FJDL,2025-04-27,BUY,100,200.11,PORT-001
94,FJDL,2025-05-14,BUY,2500,271.2,PORT-001
95,FJDL,2025-05-16,BUY,100,185.19,PORT-001
92,FJDL,2025-05-23,SELL,2500,138.92,PORT-001
102,FJDL,2025-06-01,BUY,250,143.8,PORT-001
101,FJDL,2025-06-03,SELL,1000,121.65,PORT-001
93,FJDL,2025-06-19,BUY,100,251.1,PORT-001
100,FJDL,2025-06-19,SELL,100,214.14,PORT-001
87,FJDL,2025-06-20,SELL,250,107.7,PORT-001
96,FJDL,2025-06-26,SELL,1000,187.46,PORT-001
103,FJDL,2025-07-14,BUY,2500,178.74,PORT-001
91,FJDL,2025-07-24,SELL,500,248.12,PORT-001
104,FJDL,2025-07-27,BUY,500,112.42,PORT-001
105,FJDL,2025-08-09,SELL,1000,148.82,PORT-001
97,FJDL,2025-09-19,BUY,1000,256.38,PORT-001
53,HRZN,2025-01-08,BUY,100,262.7,PORT-001
47,HRZN,2025-01-28,BUY,100,59.24,PORT-001
56,HRZN,2025-01-31,BUY,250,134.06,PORT-001
52,HRZN,2025-02-20,BUY,100,198.25,PORT-001
49,HRZN,2025-04-08,BUY,2500,150.42,PORT-001
54,HRZN,2025-05-02,BUY,250,140.51,PORT-001
51,HRZN,2025-05-08,BUY,100,149.14,PORT-001
48,HRZN,2025-06-23,BUY,100,103.43,PORT-001
57,HRZN,2025-07-19,BUY,500,262.73,PORT-001
46,HRZN,2025-08-05,BUY,1000,154.75,PORT-001
50,HRZN,2025-08-05,BUY,250,110.46,PORT-001
58,HRZN,2025-08-21,BUY,500,144.41,PORT-001
55,HRZN,2025-09-04,BUY,250,248.19,PORT-001
78,KMRL,2025-01-02,SELL,250,194.72,PORT-001
82,KMRL,2025-03-17,SELL,250,54.83,PORT-001
81,KMRL,2025-03-18,BUY,500,181.89,PORT-001
84,KMRL,2025-05-08,BUY,500,228.33,PORT-001
79,KMRL,2025-05-15,BUY,1000,174.64,PORT-001
83,KMRL,2025-07-06,BUY,500,94.37,PORT-001
85,KMRL,2025-07-28,BUY,250,248.18,PORT-001
80,KMRL,2025-08-07,BUY,100,62.68,PORT-001
26,NBLA,2025-01-06,BUY,2500,221.46,PORT-001
23,NBLA,2025-01-25,BUY,250,192.45,PORT-001
29,NBLA,2025-04-02,BUY,500,242.79,PORT-001
22,NBLA,2025-04-23,BUY,2500,160.98,PORT-001
21,NBLA,2025-05-15,SELL,2500,138.86,PORT-001
19,NBLA,2025-06-11,BUY,1000,137.97,PORT-001
27,NBLA,2025-06-24,BUY,500,147.17,PORT-001
24,NBLA,2025-08-05,BUY,1000,134.68,PORT-001
28,NBLA,2025-08-21,BUY,500,273.39,PORT-001
20,NBLA,2025-08-23,BUY,500,77.81,PORT-001
25,NBLA,2025-08-28,SELL,2500,247.28,PORT-001
121,OSLB,2025-02-11,BUY,250,99.35,PORT-001
109,OSLB,2025-03-17,BUY,100,102.54,PORT-001
112,OSLB,2025-03-17,BUY,100,227.93,PORT-001
122,OSLB,2025-03-20,BUY,100,142.49,PORT-001
117,OSLB,2025-03-23,SELL,1000,105.91,PORT-001
111,OSLB,2025-04-10,SELL,1000,138.92,PORT-001
106,OSLB,2025-04-20,SELL,250,199.83,PORT-001
113,OSLB,2025-04-23,BUY,2500,154.17,PORT-001
108,OSLB,2025-05-01,SELL,250,234.54,PORT-001
119,OSLB,2025-05-03,SELL,1000,63.21,PORT-001
118,OSLB,2025-05-07,SELL,2500,158.88,PORT-001
114,OSLB,2025-05-08,BUY,1000,76.33,PORT-001
107,OSLB,2025-05-26,SELL,100,237.33,PORT-001
120,OSLB,2025-05-27,BUY,500,123.92,PORT-001
123,OSLB,2025-06-19,SELL,1000,59.63,PORT-001
115,OSLB,2025-08-26,SELL,1000,188.97,PORT-001
110,OSLB,2025-09-01,BUY,1000,142.39,PORT-001
116,OSLB,2025-09-16,SELL,2500,149.79,PORT-001
31,TLKM,2025-01-01,SELL,1000,49.58,PORT-001
41,TLKM,2025-01-31,BUY,100,257.77,PORT-001
33,TLKM,2025-02-10,BUY,1000,236.77,PORT-001
34,TLKM,2025-03-06,BUY,1000,267.51,PORT-001
35,TLKM,2025-03-26,SELL,2500,250.02,PORT-001
45,TLKM,2025-04-08,BUY,100,199.86,PORT-001
30,TLKM,2025-04-12,BUY,500,224.19,PORT-001
37,TLKM,2025-04-13,SELL,1000,278.86,PORT-001
40,TLKM,2025-04-28,BUY,100,61.68,PORT-001
39,TLKM,2025-05-07,BUY,100,124.45,PORT-001
42,TLKM,2025-06-19,BUY,2500,100.93,PORT-001
32,TLKM,2025-07-05,SELL,250,58.61,PORT-001
38,TLKM,2025-07-11,SELL,2500,151.1,PORT-001
36,TLKM,2025-08-05,BUY,2500,222.49,PORT-001
44,TLKM,2025-08-31,BUY,1000,234.76,PORT-001
43,TLKM,2025-09-06,BUY,2500,76.09,PORT-001
6,VRTC,2025-01-04,BUY,1000,124.96,PORT-001
18,VRTC,2025-01-17,SELL,1000,107.92,PORT-001
13,VRTC,2025-02-21,SELL,500,151.55,PORT-001
1,VRTC,2025-02-27,BUY,500,102.55,PORT-001
2,VRTC,2025-03-13,BUY,2500,65.43,PORT-001
7,VRTC,2025-03-21,BUY,500,69.02,PORT-001
17,VRTC,2025-04-23,SELL,100,98.83,PORT-001
12,VRTC,2025-04-27,SELL,100,246.0,PORT-001
4,VRTC,2025-04-30,BUY,2500,91.73,PORT-001
16,VRTC,2025-05-06,BUY,1000,134.17,PORT-001
9,VRTC,2025-05-16,BUY,1000,171.01,PORT-001
